CountryName,id,1960,1970,1980,1990,2000,2010
Afghanistan,4,14.03814754,17.03442851,20.23620991,18.48416199,30.17789419,42.83032656
Albania,8,60.57664234,77.93718978,97.51813869,119.9467883,112.7382117,106.314635
Algeria,12,0,0,8.119157843,10.87959391,13.09280526,15.13018172
Angola,24,4.305195316,5.054118072,6.586949547,8.925860271,12.07879843,17.02089837
Antarctica,10,0,0,0,0,0,0
Argentina,32,7.656358228,8.759874885,10.27003022,11.95960814,13.54097578,15.06304148
Armenia,51,67.9395504,88.45830699,108.7565156,124.5063224,108.0469968,104.0918862
Australia,36,1.364565299,1.628028065,1.912448095,2.22135298,2.493133567,2.867858584
Austria,40,85.81132235,90.42245096,91.41962945,92.97469121,97.01581497,101.2996936
Azerbaijan,31,48.42916712,62.2247858,74.07128351,86.02809522,97.43477998,109.5423442
Bahamas,44,11.4993007,16.91868132,21.04495504,25.60819181,29.75934066,36.04695305
Bangladesh,50,380.9910886,499.7211416,625.0608896,814.1901821,1008.532988,1164.759753
Belarus,112,40.77704595,44.56714652,47.53993295,50.23170972,49.32459081,46.77180877
Belgium,56,0,0,0,0,338.5485469,359.8278071
Belize,84,4.151731697,5.356378781,6.319640509,8.222358615,10.84226217,14.09947391
Benin,204,21.86947499,25.78723838,32.97289819,44.35323696,61.62970912,84.33662646
Bhutan,64,4.907582989,6.237977013,8.829933866,11.46127175,14.17555276,18.89566335
Bolivia,68,3.475320779,4.159303979,5.159763685,6.329037201,7.698247946,9.155584787
Bosnia and Herzegovina,70,64.25678431,73.44386275,81.26913725,88.76462745,74.07964844,74.90738281
Botswana,72,0.946793005,1.222841565,1.75803469,2.43469377,3.064208706,3.613415559
Brazil,76,8.938219269,11.48370965,14.62044438,17.99361377,21.03176556,23.76296736
Brunei,96,16.25939279,24.61650854,36.63320683,48.75502846,62.72371917,74.63036053
Bulgaria,100,71.79895146,76.73844346,80.10065082,78.80583024,73.85132423,68.12453021
Burkina Faso,854,17.88953947,20.55773757,24.9372807,32.20406798,42.42669591,57.13474415
Burundi,108,110.6065031,134.6227804,160.6909657,218.580257,263.5153037,368.4235592
Cambodia,116,33.26675164,39.78124292,38.05937571,51.03589395,69.10211308,81.37087016
Cameroon,120,11.58111527,14.32372279,18.89556176,25.53438472,33.69447018,43.55876965
Canada,124,2.009235158,2.344969104,2.704456255,3.05613564,3.383698924,3.739510266
Central African Republic,140,2.45469999,2.935423288,3.650349931,4.715772577,5.981007416,7.135017176
Chad,148,2.429700794,2.892786508,3.583858799,4.731593075,6.625890248,9.447569886
Chile,152,10.5893277,12.86006251,15.10942367,17.67402344,20.40313934,22.884083
China,156,70.34,87.16,104.5173488,120.9155061,134.492481,142.4877434
Colombia,170,15.3062758,19.88392429,25.00036503,30.88919603,36.41636683,41.38630104
Congo [DRC],178,6.897825368,8.82640524,11.62630158,15.42210185,21.19435566,29.08568933
Congo [Republic],180,3.045288433,3.909487555,5.275806735,6.988190337,9.104740849,11.90652416
Costa Rica,188,27.06462985,36.20981199,46.79414414,60.63443008,76.87916177,89.01827262
Cote d'Ivoire,384,11.32727987,16.48400629,25.99229245,38.25757547,51.9432327,63.30725472
Croatia,191,74.61405831,78.89465212,82.0604543,85.4945448,79.16294044,78.94533595
Cuba,192,67.87549348,81.14639665,91.57520484,98.52962756,103.5082588,106.2395058
Cyprus,196,62.38041126,66.40898268,74.17813853,82.96655844,102.0873377,119.4464286
Czech Republic,203,124.0669212,127.5795393,133.3530866,133.7304905,132.7172641,135.6086225
Denmark,208,108.8432145,116.3265754,120.8831288,121.2771644,125.8452981,130.7490691
Djibouti,262,3.817903365,6.888136324,15.48576359,25.38205349,31.17178602,35.84132873
Dominican Republic,214,70.49459851,93.19358444,120.2249793,148.6681705,177.2066018,204.8423634
